Date,Day of Week,Week Ending,Month Ending,Year Ending
2024-02-06,Monday,2024-01,2024-01,2024
2024-01-13,Tuesday,2024-02,2024-01,2024
2024-01-29,Wednesday,2024-03,2024-01,2024
2024-01-23,Monday,2024-04,2024-01,2024
2024-01-11,Thursday,2024-05,2024-01,2024
2024-01-19,Monday,2024-06,2024-02,2024
2024-01-21,Wednesday,2024-07,2024-02,2024
2024-01-29,Tuesday,2024-08,2024-02,2024
2024-02-01,Friday,2024-09,2024-02,2024
2024-01-11,Thursday,2024-10,2024-03,2024
2024-02-02,Monday,2024-11,2024-03,2024
2024-01-24,Tuesday,2024-12,2024-03,2024
2024-01-20,Thursday,2024-13,2024-03,2024
2024-01-14,Friday,2024-14,2024-04,2024
2024-02-07,Tuesday,2024-15,2024-04,2024
2024-01-19,Tuesday,2024-16,2024-04,2024
2024-02-08,Monday,2024-17,2024-04,2024
2024-02-03,Wednesday,2024-18,2024-04,2024
2024-01-26,Friday,2024-19,2024-05,2024
2024-02-03,Monday,2024-20,2024-05,2024
2024-01-18,Thursday,2024-21,2024-05,2024
2024-01-29,Tuesday,2024-22,2024-05,2024
2024-01-19,Wednesday,2024-23,2024-06,2024
2024-01-21,Thursday,2024-24,2024-06,2024
2024-01-26,Friday,2024-25,2024-06,2024
2024-02-10,Thursday,2024-26,2024-06,2024
2024-01-23,Monday,2024-27,2024-07,2024
2024-02-10,Friday,2024-28,2024-07,2024
2024-01-10,Monday,2024-29,2024-07,2024
2024-01-16,Tuesday,2024-30,2024-07,2024
2024-01-29,Monday,2024-31,2024-07,2024
2024-02-03,Monday,2024-32,2024-08,2024
2024-02-05,Wednesday,2024-33,2024-08,2024
2024-01-09,Tuesday,2024-34,2024-08,2024
2024-01-31,Tuesday,2024-35,2024-08,2024
2024-01-12,Monday,2024-36,2024-09,2024
2024-01-23,Wednesday,2024-37,2024-09,2024
2024-01-20,Monday,2024-38,2024-09,2024
2024-02-02,Monday,2024-39,2024-09,2024
2024-01-12,Monday,2024-40,2024-09,2024
2024-01-25,Monday,2024-41,2024-10,2024
2024-01-25,Thursday,2024-42,2024-10,2024
2024-01-10,Thursday,2024-43,2024-10,2024
2024-01-27,Friday,2024-44,2024-10,2024
2024-02-05,Monday,2024-45,2024-11,2024
2024-01-11,Thursday,2024-46,2024-11,2024
2024-02-01,Monday,2024-47,2024-11,2024
2024-01-23,Thursday,2024-48,2024-11,2024
2024-01-25,Wednesday,2024-49,2024-12,2024
2024-01-21,Monday,2024-50,2024-12,2024
2024-01-15,Tuesday,2024-51,2024-12,2024
2024-01-21,Wednesday,2024-52,2024-12,2024
2024-02-03,Friday,2024-53,2024-12,2024
2024-01-27,Wednesday,2025-01,2025-01,2024
2024-01-20,Tuesday,2025-02,2025-01,2024
2024-01-25,Thursday,2025-03,2025-01,2024
2024-02-07,Tuesday,2025-04,2025-01,2024
2024-02-05,Monday,2025-05,2025-02,2024
2024-01-18,Friday,2025-06,2025-02,2024
2024-01-31,Thursday,2025-07,2025-02,2024
2024-01-11,Monday,2025-08,2025-02,2024
2024-01-19,Tuesday,2025-09,2025-03,2024
2024-02-04,Wednesday,2025-10,2025-03,2024
2024-02-10,Friday,2025-11,2025-03,2024
2024-01-17,Monday,2025-12,2025-03,2024
2024-01-30,Wednesday,2025-13,2025-03,2024
2024-01-16,Wednesday,2025-14,2025-04,2024
2024-02-01,Friday,2025-15,2025-04,2024
2024-01-31,Wednesday,2025-16,2025-04,2024
2024-01-18,Monday,2025-17,2025-04,2024
2024-01-16,Friday,2025-18,2025-05,2024
2024-02-05,Tuesday,2025-19,2025-05,2024
2024-01-30,Monday,2025-20,2025-05,2024
2024-01-27,Tuesday,2025-21,2025-05,2024
2024-01-13,Friday,2025-22,2025-06,2024
2024-01-17,Thursday,2025-23,2025-06,2024
2024-01-29,Friday,2025-24,2025-06,2024
2024-02-09,Friday,2025-25,2025-06,2024
2024-01-12,Monday,2025-26,2025-06,2024
2024-01-13,Thursday,2025-27,2025-07,2024
2024-01-20,Tuesday,2025-28,2025-07,2024
2024-01-10,Tuesday,2025-29,2025-07,2024
2024-01-18,Thursday,2025-30,2025-07,2024
2024-01-17,Wednesday,2025-31,2025-08,2024
2024-02-05,Wednesday,2025-32,2025-08,2024
2024-01-20,Wednesday,2025-33,2025-08,2024
2024-01-10,Wednesday,2025-34,2025-08,2024
2024-02-02,Wednesday,2025-35,2025-09,2024
2024-01-30,Friday,2025-36,2025-09,2024
2024-01-21,Wednesday,2025-37,2025-09,2024
2024-01-12,Monday,2025-38,2025-09,2024
2024-01-17,Tuesday,2025-39,2025-09,2024
2024-01-13,Tuesday,2025-40,2025-10,2024
2024-01-18,Monday,2025-41,2025-10,2024
2024-01-21,Monday,2025-42,2025-10,2024
2024-01-26,Friday,2025-43,2025-10,2024
2024-02-09,Monday,2025-44,2025-11,2024
2024-02-01,Monday,2025-45,2025-11,2024
2024-01-30,Wednesday,2025-46,2025-11,2024
2024-02-03,Thursday,2025-47,2025-11,2024
2024-01-22,Wednesday,2025-48,2025-12,2024
2024-02-06,Thursday,2025-49,2025-12,2024
2024-01-24,Wednesday,2025-50,2025-12,2024
2024-02-01,Wednesday,2025-51,2025-12,2024
2024-02-06,Wednesday,2025-52,2025-12,2024
2024-02-09,Wednesday,2026-01,2026-01,2024
2024-02-01,Thursday,2026-02,2026-01,2024
2024-01-19,Monday,2026-03,2026-01,2024
2024-01-14,Wednesday,2026-04,2026-01,2024
2024-01-21,Monday,2026-05,2026-02,2024
2024-01-23,Wednesday,2026-06,2026-02,2024
2024-02-08,Thursday,2026-07,2026-02,2024
2024-01-31,Wednesday,2026-08,2026-02,2024
2024-01-10,Tuesday,2026-09,2026-03,2024
2024-01-21,Thursday,2026-10,2026-03,2024
2024-01-20,Monday,2026-11,2026-03,2024
2024-02-10,Friday,2026-12,2026-03,2024
2024-01-20,Wednesday,2026-13,2026-03,2024
2024-01-10,Friday,2026-14,2026-04,2024
2024-02-01,Friday,2026-15,2026-04,2024
2024-02-01,Tuesday,2026-16,2026-04,2024
