Service ID Code,Team Name,Pathway,Division,Location
1468,Southwark Team 7,Pathway 3,Division 2,Site 10
1500,Lambeth Team 3,Pathway 1,Division 2,Site 9
1593,Lewisham Team 6,Pathway 3,Division 1,Site 7
1506,Lambeth Team 2,Pathway 1,Division 2,Site 1
1701,Lambeth Team 12,Pathway 3,Division 1,Site 3
1856,Southwark Team 6,Pathway 3,Division 2,Site 9
1209,Lambeth Team 5,Pathway 1,Division 1,Site 4
1340,Lambeth Team 7,Pathway 3,Division 1,Site 4
1239,Lambeth Team 4,Pathway 1,Division 2,Site 10
1337,Croydon Team 3,Pathway 1,Division 2,Site 6
1050,Croydon Team 1,Pathway 3,Division 2,Site 3
1335,Lewisham Team 5,Pathway 3,Division 2,Site 3
1113,Southwark Team 7,Pathway 1,Division 2,Site 9
1578,Southwark Team 14,Pathway 2,Division 1,Site 5
1755,Lambeth Team 9,Pathway 1,Division 2,Site 7
1348,Southwark Team 11,Pathway 2,Division 2,Site 5
1960,Lambeth Team 12,Pathway 2,Division 1,Site 6
1353,Croydon Team 8,Pathway 1,Division 1,Site 8
1602,Lambeth Team 1,Pathway 1,Division 2,Site 8
1577,Lambeth Team 8,Pathway 1,Division 1,Site 2
1449,Lewisham Team 2,Pathway 2,Division 2,Site 11
1827,Lambeth Team 4,Pathway 1,Division 1,Site 9
1765,Lambeth Team 14,Pathway 1,Division 1,Site 10
1463,Southwark Team 14,Pathway 3,Division 1,Site 6
1848,Lambeth Team 14,Pathway 3,Division 2,Site 7
1619,Lambeth Team 9,Pathway 3,Division 1,Site 3
1395,Lambeth Team 9,Pathway 1,Division 2,Site 4
1416,Southwark Team 11,Pathway 1,Division 2,Site 6
1375,Croydon Team 7,Pathway 1,Division 2,Site 7
1554,Croydon Team 2,Pathway 2,Division 1,Site 6
1068,Southwark Team 2,Pathway 2,Division 2,Site 5
1052,Croydon Team 1,Pathway 3,Division 1,Site 2
1268,Lambeth Team 4,Pathway 2,Division 1,Site 7
1007,Croydon Team 6,Pathway 2,Division 2,Site 5
1985,Lambeth Team 3,Pathway 2,Division 2,Site 9
1751,Southwark Team 14,Pathway 3,Division 2,Site 11
1605,Southwark Team 10,Pathway 3,Division 2,Site 4
1332,Southwark Team 6,Pathway 2,Division 2,Site 10
1998,Lambeth Team 12,Pathway 1,Division 1,Site 2
1611,Lambeth Team 1,Pathway 3,Division 1,Site 7
1932,Lambeth Team 1,Pathway 2,Division 2,Site 7
1332,Croydon Team 5,Pathway 1,Division 2,Site 1
1371,Croydon Team 6,Pathway 1,Division 2,Site 11
1557,Croydon Team 8,Pathway 3,Division 1,Site 5
1834,Lambeth Team 7,Pathway 1,Division 1,Site 3
1271,Lambeth Team 10,Pathway 3,Division 2,Site 9
1061,Lambeth Team 15,Pathway 2,Division 2,Site 9
1929,Lewisham Team 9,Pathway 3,Division 1,Site 7
1119,Lambeth Team 11,Pathway 1,Division 1,Site 9
1127,Croydon Team 6,Pathway 3,Division 2,Site 2
1374,Croydon Team 5,Pathway 3,Division 2,Site 11
1467,Southwark Team 8,Pathway 2,Division 1,Site 10
1809,Lambeth Team 13,Pathway 1,Division 1,Site 8
1934,Southwark Team 12,Pathway 3,Division 1,Site 10
1559,Croydon Team 1,Pathway 2,Division 1,Site 10
1141,Southwark Team 2,Pathway 2,Division 1,Site 10
1723,Lambeth Team 13,Pathway 2,Division 2,Site 1
1377,Lambeth Team 12,Pathway 2,Division 2,Site 3
1271,Southwark Team 14,Pathway 2,Division 1,Site 8
